#model_version:v2025.03.14,score_date:2026-01-17T12:55:00Z
cve,epss,percentile
CVE-2016-6000,0.00238,0.46669
CVE-2016-6001,0.00138,0.34458
CVE-2016-6018,0.00212,0.43663
CVE-2016-6019,0.00269,0.50095
CVE-2016-6020,0.00267,0.49892
CVE-2016-6021,0.00198,0.41897
CVE-2016-6022,0.00227,0.45325
CVE-2016-6023,0.00221,0.44615
CVE-2016-6024,0.0013,0.33237
CVE-2016-6025,0.00204,0.4258
CVE-2016-6026,0.00069,0.21483
CVE-2016-6027,0.00244,0.47495
CVE-2016-6028,0.00179,0.39714
CVE-2016-6029,0.00204,0.42532
CVE-2016-6030,0.00227,0.45325
CVE-2016-6031,0.00227,0.45325
CVE-2016-6032,0.00303,0.53151
CVE-2016-6033,0.00151,0.36161
CVE-2016-6034,0.00305,0.53334
CVE-2016-6035,0.00258,0.48934
CVE-2016-6036,0.00227,0.45325
CVE-2016-6037,0.00152,0.36432
CVE-2016-6038,0.00224,0.4498
CVE-2016-6039,0.00227,0.45325
CVE-2016-6040,0.00193,0.41352
CVE-2016-6042,0.0077,0.73027
CVE-2016-6043,0.00048,0.15248
CVE-2016-6044,0.00125,0.32447
CVE-2016-6045,0.00151,0.36161
CVE-2016-6046,0.00227,0.45325
CVE-2016-6047,0.00227,0.45325
CVE-2016-6054,0.00227,0.45325
CVE-2016-6055,0.00258,0.48934
CVE-2016-6056,0.00227,0.45325
CVE-2016-6059,0.00359,0.57557
CVE-2016-6060,0.00203,0.42482
CVE-2016-6061,0.00227,0.45325
CVE-2016-6062,0.00238,0.46669
CVE-2016-6065,0.00076,0.23249
CVE-2016-6068,0.00262,0.49274
CVE-2016-6072,0.00227,0.45325
CVE-2016-6077,0.00081,0.24289
CVE-2016-6079,0.02047,0.8341
CVE-2016-6080,0.00187,0.40699
CVE-2016-6082,0.07425,0.91489
CVE-2016-6083,0.00203,0.42483
CVE-2016-6084,0.00186,0.40519
CVE-2016-6085,0.00175,0.39277
CVE-2016-6087,0.01433,0.80277
CVE-2016-6089,0.00035,0.10226
CVE-2016-6090,0.01007,0.76586
CVE-2016-6092,0.0005,0.15961
CVE-2016-6093,0.00365,0.5797
CVE-2016-6094,0.00312,0.53901
CVE-2016-6095,0.00386,0.5926
CVE-2016-6096,0.00317,0.54325
CVE-2016-6097,0.00058,0.18615
CVE-2016-6098,0.00137,0.34225
CVE-2016-6099,0.00187,0.40699
CVE-2016-6100,0.00151,0.36161
CVE-2016-6102,0.00222,0.44652
CVE-2016-6103,0.00151,0.36161
CVE-2016-6104,0.03237,0.86714
CVE-2016-6105,0.00255,0.4858
CVE-2016-6110,0.00046,0.1429
CVE-2016-6111,0.00407,0.60552
CVE-2016-6112,0.00349,0.5683
CVE-2016-6113,0.00282,0.51151
CVE-2016-6114,0.00269,0.50095
CVE-2016-6115,0.03934,0.87994
CVE-2016-6116,0.00216,0.44077
CVE-2016-6117,0.00222,0.44652
CVE-2016-6118,0.00269,0.50095
CVE-2016-6121,0.00269,0.50095
CVE-2016-6122,0.00179,0.39757
CVE-2016-6123,0.00227,0.45325
CVE-2016-6124,0.02673,0.85406
CVE-2016-6125,0.00227,0.45325
CVE-2016-6126,0.00638,0.69944
CVE-2016-6127,0.00324,0.54909
CVE-2016-6128,0.15586,0.94476
CVE-2016-6129,0.00145,0.35346
CVE-2016-6130,0.0006,0.19148
CVE-2016-6131,0.0177,0.8221
CVE-2016-6132,0.02125,0.83713
CVE-2016-6133,0.00215,0.43955
CVE-2016-6136,0.00021,0.04761
CVE-2016-6137,0.04037,0.88173
CVE-2016-6138,0.1569,0.94496
CVE-2016-6139,0.05046,0.89452
CVE-2016-6140,0.09791,0.92725
CVE-2016-6142,0.01219,0.78633
CVE-2016-6143,0.06145,0.90527
CVE-2016-6144,0.00929,0.75617
CVE-2016-6145,0.0039,0.59545
CVE-2016-6146,0.00325,0.54989
CVE-2016-6147,0.10552,0.9305
CVE-2016-6148,0.0329,0.86844
CVE-2016-6149,0.00063,0.20096
CVE-2016-6150,0.0175,0.82116
CVE-2016-6151,0.0113,0.77876
CVE-2016-6152,0.01009,0.76611
CVE-2016-6153,0.00032,0.08983
CVE-2016-6154,0.00212,0.43726
CVE-2016-6156,0.00043,0.13011
CVE-2016-6158,0.00161,0.37517
CVE-2016-6159,0.00804,0.73653
CVE-2016-6160,0.0062,0.69483
CVE-2016-6161,0.00693,0.71351
CVE-2016-6162,0.00041,0.12507
CVE-2016-6163,0.00434,0.62285
CVE-2016-6164,0.00936,0.75712
CVE-2016-6167,0.00119,0.31555
CVE-2016-6168,0.00347,0.56757
CVE-2016-6169,0.00377,0.58728
CVE-2016-6170,0.1302,0.93868
CVE-2016-6171,0.01196,0.78461
CVE-2016-6172,0.00014,0.02123
CVE-2016-6173,0.01924,0.82928
CVE-2016-6174,0.19825,0.95259
CVE-2016-6175,0.13155,0.93906
CVE-2016-6177,0.00197,0.41752
CVE-2016-6178,0.01321,0.79462
CVE-2016-6179,0.00021,0.04793
CVE-2016-6180,0.00018,0.03939
CVE-2016-6181,0.00018,0.03939
CVE-2016-6182,0.00052,0.16419
CVE-2016-6183,0.00018,0.03939
CVE-2016-6184,0.00018,0.03939
CVE-2016-6185,0.00246,0.47658
CVE-2016-6186,0.13095,0.93893
CVE-2016-6187,0.03522,0.87299
CVE-2016-6188,0.01516,0.8082
CVE-2016-6189,0.00173,0.39054
CVE-2016-6190,0.002,0.42124
CVE-2016-6191,0.00332,0.55569
CVE-2016-6192,0.00048,0.15167
CVE-2016-6193,0.00051,0.16114
CVE-2016-6195,0.8643,0.99386
CVE-2016-6197,0.00023,0.05422
CVE-2016-6198,0.00025,0.0627
CVE-2016-6199,0.02251,0.8418
CVE-2016-6201,0.00196,0.41723
CVE-2016-6204,0.0021,0.43344
CVE-2016-6206,0.01774,0.8223
CVE-2016-6207,0.08719,0.92241
CVE-2016-6209,0.00589,0.68568
CVE-2016-6210,0.92487,0.99722
CVE-2016-6211,0.01128,0.7785
CVE-2016-6212,0.00537,0.66921
CVE-2016-6213,0.00039,0.11805
CVE-2016-6214,0.07362,0.91453
CVE-2016-6217,0.00099,0.27822
CVE-2016-6220,0.00528,0.66569
CVE-2016-6223,0.01239,0.78815
CVE-2016-6224,0.00057,0.18062
CVE-2016-6225,0.00526,0.66434
CVE-2016-6231,0.00192,0.41242
CVE-2016-6232,0.05654,0.90096
CVE-2016-6233,0.01724,0.81973
CVE-2016-6234,0.00207,0.43098
CVE-2016-6235,0.00207,0.43098
CVE-2016-6236,0.00207,0.43098
CVE-2016-6237,0.00207,0.43098
CVE-2016-6238,0.00207,0.43098
CVE-2016-6239,0.00138,0.34447
CVE-2016-6240,0.00138,0.34456
CVE-2016-6241,0.00129,0.33064
CVE-2016-6242,0.00043,0.13234
CVE-2016-6243,0.00043,0.13234
CVE-2016-6244,0.01051,0.77107
CVE-2016-6245,0.00043,0.13234
CVE-2016-6246,0.00046,0.14214
CVE-2016-6247,0.00043,0.13234
CVE-2016-6249,0.00063,0.20123
CVE-2016-6250,0.01708,0.81888
CVE-2016-6252,0.00103,0.28917
CVE-2016-6253,0.07271,0.91393
