#model_version:v2025.03.14,score_date:2025-07-23T12:55:00Z
cve,epss,percentile
CVE-2023-0001,0.00444,0.62439
CVE-2023-0002,0.00131,0.3358
CVE-2023-0003,0.0079,0.72892
CVE-2023-0004,0.00627,0.69265
CVE-2023-0005,0.00071,0.22306
CVE-2023-0006,0.00035,0.08212
CVE-2023-0007,0.00448,0.62596
CVE-2023-0008,0.00157,0.37292
CVE-2023-0009,0.00046,0.13927
CVE-2023-0010,0.00864,0.74122
CVE-2023-0011,0.00076,0.23432
CVE-2023-0012,0.0004,0.11064
CVE-2023-0013,0.00383,0.58788
CVE-2023-0014,0.00236,0.4649
CVE-2023-0015,0.0028,0.51046
CVE-2023-0016,0.00175,0.39501
CVE-2023-0017,0.03714,0.87466
CVE-2023-0018,0.00504,0.65133
CVE-2023-0019,0.00221,0.44719
CVE-2023-0020,0.00146,0.35769
CVE-2023-0021,0.00829,0.73546
CVE-2023-0022,0.00316,0.54128
CVE-2023-0023,0.00074,0.23163
CVE-2023-0024,0.00246,0.47768
CVE-2023-0025,0.00182,0.40351
CVE-2023-0026,0.00098,0.28044
CVE-2023-0027,0.00037,0.09627
CVE-2023-0028,0.01152,0.77571
CVE-2023-0029,0.00055,0.1723
CVE-2023-0030,0.00022,0.04131
CVE-2023-0033,0.00113,0.30719
CVE-2023-0034,0.00275,0.50594
CVE-2023-0035,8e-05,0.00431
CVE-2023-0036,8e-05,0.00431
CVE-2023-0037,0.00561,0.67258
CVE-2023-0038,0.00464,0.63342
CVE-2023-0040,0.00092,0.26967
CVE-2023-0041,0.00048,0.14691
CVE-2023-0042,0.00066,0.20877
CVE-2023-0043,0.00117,0.313
CVE-2023-0044,0.00086,0.25775
CVE-2023-0045,0.00247,0.47872
CVE-2023-0046,0.00077,0.23776
CVE-2023-0048,0.01242,0.78372
CVE-2023-0049,0.00017,0.02466
CVE-2023-0050,0.78278,0.98963
CVE-2023-0051,0.00018,0.02849
CVE-2023-0052,0.00086,0.25866
CVE-2023-0053,0.00053,0.16726
CVE-2023-0054,0.00016,0.02038
CVE-2023-0055,0.0009,0.26495
CVE-2023-0056,0.00148,0.36103
CVE-2023-0057,0.00236,0.46503
CVE-2023-0058,0.00094,0.27297
CVE-2023-0059,0.00113,0.30719
CVE-2023-0060,0.00249,0.48024
CVE-2023-0061,0.00291,0.52073
CVE-2023-0062,0.00275,0.50594
CVE-2023-0063,0.00119,0.31655
CVE-2023-0064,0.00109,0.3005
CVE-2023-0065,0.00119,0.31655
CVE-2023-0066,0.00103,0.2913
CVE-2023-0067,0.00119,0.31655
CVE-2023-0068,0.00119,0.31655
CVE-2023-0069,0.00113,0.30719
CVE-2023-0070,0.0035,0.5674
CVE-2023-0071,0.00144,0.35421
CVE-2023-0072,0.00391,0.59334
CVE-2023-0073,0.00119,0.31655
CVE-2023-0074,0.00144,0.35421
CVE-2023-0075,0.00321,0.54507
CVE-2023-0076,0.00103,0.2913
CVE-2023-0077,0.0032,0.54445
CVE-2023-0078,0.00103,0.2913
CVE-2023-0079,0.00109,0.3005
CVE-2023-0080,0.00956,0.7544
CVE-2023-0081,0.00289,0.5198
CVE-2023-0082,0.00216,0.44303
CVE-2023-0083,0.00022,0.03974
CVE-2023-0084,0.25611,0.95986
CVE-2023-0085,0.00081,0.24597
CVE-2023-0086,0.00057,0.17969
CVE-2023-0087,0.00075,0.23287
CVE-2023-0088,0.001,0.28455
CVE-2023-0089,0.00304,0.53182
CVE-2023-0090,0.00292,0.52193
CVE-2023-0091,0.00069,0.21633
CVE-2023-0092,0.0012,0.31784
CVE-2023-0093,0.0036,0.57423
CVE-2023-0094,0.00266,0.49829
CVE-2023-0095,0.00275,0.50594
CVE-2023-0096,0.00249,0.48024
CVE-2023-0097,0.00119,0.31655
CVE-2023-0098,0.0033,0.55279
CVE-2023-0099,0.51381,0.97757
CVE-2023-0100,0.00335,0.55729
CVE-2023-0101,0.00142,0.351
CVE-2023-0102,0.00076,0.23459
CVE-2023-0103,0.00065,0.20565
CVE-2023-0104,0.03201,0.86469
CVE-2023-0105,0.00088,0.26255
CVE-2023-0106,0.00095,0.27503
CVE-2023-0107,0.00065,0.20523
CVE-2023-0108,0.00091,0.26746
CVE-2023-0109,0.00068,0.21456
CVE-2023-0110,0.00065,0.20523
CVE-2023-0111,0.00088,0.26207
CVE-2023-0112,0.0009,0.26695
CVE-2023-0113,0.00088,0.26222
CVE-2023-0114,0.00014,0.01715
CVE-2023-0116,0.00099,0.2831
CVE-2023-0117,0.00038,0.10366
CVE-2023-0118,0.00035,0.08562
CVE-2023-0119,0.00231,0.45921
CVE-2023-0120,0.00087,0.26029
CVE-2023-0121,0.0207,0.8316
CVE-2023-0122,0.00128,0.33112
CVE-2023-0123,0.00049,0.15216
CVE-2023-0124,0.0004,0.11353
CVE-2023-0125,0.00071,0.22358
CVE-2023-0126,0.92467,0.99722
CVE-2023-0127,0.00412,0.60594
CVE-2023-0128,0.0048,0.64108
CVE-2023-0129,0.00123,0.32366
CVE-2023-0130,0.00128,0.33066
CVE-2023-0131,0.00029,0.06513
CVE-2023-0132,0.00106,0.29513
